date_achat,rembourse,id_utilisateur,id_application,id_plateforme
2023-12-22 11:34:09,0,374,51,3
2023-12-11 06:56:41,0,491,154,3
2023-12-03 22:27:22,0,102,25,3
2023-06-17 00:02:39,0,290,138,2
2023-04-02 21:40:58,0,455,161,3
2023-12-27 18:32:37,0,213,49,2
2023-12-29 23:04:07,0,105,146,2
2023-12-29 02:44:05,0,424,20,2
2023-12-27 07:13:36,0,250,190,2
2023-09-01 07:05:59,0,438,125,1
2023-12-21 11:58:26,0,63,129,3
2023-12-28 06:57:19,0,332,75,2
2023-11-26 12:40:06,0,422,106,2
2023-12-02 15:02:02,0,460,88,1
2023-12-12 10:39:22,0,235,130,3
2023-11-03 02:14:10,0,27,77,2
2023-12-04 11:19:31,0,203,50,1
2023-08-26 09:07:41,0,492,29,1
2023-11-16 17:19:53,0,205,74,1
2023-05-18 13:00:21,0,293,139,1
2023-06-30 15:32:20,0,175,177,2
2023-07-07 12:03:29,0,16,144,2
2023-10-18 02:14:30,0,124,145,3
2023-12-28 15:51:50,0,229,41,2
2023-05-02 04:31:40,0,20,88,2
2023-12-14 06:27:17,0,173,196,3
2023-10-31 23:09:21,0,295,75,3
2023-11-08 18:20:24,0,494,118,3
2023-12-22 11:56:12,0,448,61,1
2023-10-01 06:54:28,0,213,145,3
2023-11-05 00:11:07,0,11,145,3
2023-12-29 23:34:42,0,135,40,2
2023-09-01 19:49:30,0,308,21,2
2023-12-23 12:12:51,0,33,16,3
2023-10-09 07:12:08,0,338,154,2
2023-11-06 02:58:15,0,231,127,3
2023-12-21 10:19:48,0,487,122,2
2023-12-09 07:09:28,0,5,29,1
2023-09-21 11:54:48,0,216,156,3
2022-10-11 11:38:45,0,259,151,3
2023-12-18 02:36:53,0,36,44,1
2023-02-27 15:08:53,0,305,189,3
2023-11-16 19:41:59,0,442,180,3
2023-09-15 21:34:45,0,203,158,1
2023-12-22 17:16:40,0,421,65,3
2023-03-29 06:22:23,0,88,170,1
2023-12-27 21:04:14,0,261,40,2
2023-12-08 23:16:31,0,470,87,2
2023-12-21 20:21:11,0,386,190,2
2023-12-19 12:07:41,0,481,150,3
2023-10-08 21:37:57,0,384,22,3
2023-11-19 04:30:42,0,202,5,3
2023-10-26 06:37:22,0,158,147,1
2023-05-02 19:21:31,0,35,139,2
2023-12-23 15:10:12,0,352,196,3
2023-06-25 01:56:35,0,461,8,2
2023-12-19 03:59:37,0,263,16,3
2023-12-17 05:02:48,0,328,119,1
2023-12-30 06:04:38,0,490,63,2
2023-11-27 14:47:50,0,69,24,1
2023-12-20 01:41:17,0,182,84,1
2023-02-22 04:33:43,0,250,140,1
2023-12-25 10:38:38,0,171,56,3
2023-11-21 05:06:37,0,153,94,1
2023-11-16 09:39:41,0,364,145,2
2023-12-24 17:59:03,0,490,35,1
2023-12-10 14:55:32,0,227,68,1
2023-12-30 14:49:44,0,198,14,2
2023-12-19 23:47:51,0,431,98,3
2023-12-29 17:15:44,0,108,45,1
2023-11-30 02:13:19,0,472,154,2
2023-07-08 17:18:34,0,55,188,3
2023-10-15 08:11:36,0,345,94,1
2023-12-29 18:24:58,0,137,168,3
2023-12-05 14:39:25,0,202,156,1
2023-12-14 08:29:05,0,203,6,1
2023-06-16 12:50:54,0,435,144,1
2023-08-14 00:10:46,0,140,4,3
2023-12-30 20:39:13,0,148,146,2
2023-01-31 12:15:46,0,393,144,3
2023-11-07 05:06:32,0,23,23,1
2022-12-26 00:43:59,0,364,181,2
2023-08-19 06:09:44,0,430,21,1
2023-12-03 18:30:03,0,251,80,2
2023-12-10 03:16:09,0,500,23,3
2023-03-24 05:50:28,0,96,28,3
2023-11-21 19:53:41,0,156,84,1
2023-12-10 16:04:32,0,193,196,1
2022-09-17 10:57:22,0,355,90,2
2023-11-06 15:22:25,0,264,172,1
2023-11-28 11:01:23,0,440,83,2
2022-02-26 05:12:12,0,406,17,3
2023-12-24 19:54:05,0,397,31,2
2023-12-13 19:39:25,0,114,73,1
2023-08-16 13:47:20,0,433,4,1
2023-12-30 06:25:52,0,224,34,3
2023-12-10 22:03:21,0,462,84,1
2023-12-14 15:42:02,0,89,199,3
2023-06-01 23:51:37,0,268,85,1
2023-12-04 15:41:12,0,456,76,1
2023-10-30 22:35:02,0,396,144,1
2023-12-14 12:17:59,0,355,133,1
2023-11-04 20:10:14,0,440,47,1
2023-11-17 04:49:29,0,367,79,3
2023-09-04 01:51:50,0,458,24,1
2023-07-22 10:57:38,0,102,115,1
2023-11-04 19:29:22,0,71,116,2
2023-04-15 19:39:38,0,401,52,2
2023-11-29 08:47:14,0,1,120,2
2023-10-24 00:59:46,0,488,21,2
2023-06-19 06:42:14,0,445,114,3
2023-12-29 20:34:48,0,369,197,3
2023-09-22 01:19:42,0,263,11,2
2023-11-29 17:32:58,0,81,196,3
2023-12-19 11:12:28,0,457,100,3
2023-12-30 19:56:07,0,174,192,2
2023-10-01 06:11:39,0,163,116,2
2023-11-09 00:40:45,0,459,20,3
2023-09-08 15:44:47,0,174,7,1
2023-09-14 19:35:19,0,218,90,2
2023-10-12 16:38:39,0,466,156,2
2023-07-08 02:08:29,0,252,58,1
2023-12-29 09:25:01,0,433,112,2
2023-12-22 14:28:35,0,273,73,1
2023-09-11 02:31:52,0,13,172,1
2023-09-09 10:44:02,0,349,75,2
2023-12-24 00:52:58,0,181,65,2
2023-12-29 02:58:10,0,43,184,2
2023-12-29 14:14:00,0,67,131,2
2023-12-10 14:37:23,0,127,153,2
2023-10-17 12:25:06,0,174,151,2
2023-12-23 15:30:32,0,186,148,3
2023-12-11 11:18:30,0,213,161,3
2023-12-30 11:21:10,0,320,192,2
2023-11-28 17:11:15,0,58,30,2
2023-12-29 06:57:06,0,157,73,1
2023-03-09 15:37:53,0,217,161,3
2023-11-10 19:28:28,0,355,4,3
2023-12-28 16:40:47,0,319,184,2
2023-08-09 01:23:07,0,397,111,1
2023-02-21 00:45:22,0,354,177,2
2023-12-30 06:25:33,0,144,71,1
2023-12-30 12:22:43,0,199,71,1
2023-12-01 17:56:46,0,215,176,2
2023-11-01 17:54:51,0,111,164,3
2023-01-14 11:53:48,0,107,85,1
2023-11-10 04:12:42,0,321,4,3
2023-12-30 01:13:51,0,105,37,1
2023-03-30 09:15:02,0,183,85,1
2023-10-17 22:40:44,0,105,153,1
2023-12-25 10:13:48,0,120,143,1
2023-11-26 06:50:14,0,113,171,2
