num,changelog,date_pub,est_public,telechargement,id_application
v6.3,Bug fixes,2023-09-22 05:17:25,1,9374,156
v3.8,Bug fixes,2023-12-24 15:02:15,1,7651,39
v3.4,Bug fixes,2023-11-17 11:32:07,1,5914,23
v8.9,Bug fixes,2023-12-23 22:47:47,1,6595,87
v10.5,Bug fixes,2023-10-04 01:50:23,1,2022,36
v10.4,Bug fixes,2023-07-06 17:45:00,1,3287,177
v1.6,Bug fixes,2023-12-18 23:46:56,1,5326,108
v8.1,Bug fixes,2023-12-05 02:21:04,1,4150,159
v2.6,Bug fixes,2023-12-18 20:26:29,1,6339,171
v5.3,Bug fixes,2023-08-28 00:27:11,1,121,4
v2.3,Bug fixes,2023-10-29 02:53:43,1,2889,28
v5.2,Bug fixes,2023-06-20 16:27:59,1,5188,188
v2.4,Bug fixes,2023-11-03 03:39:28,1,1321,126
v1.7,Bug fixes,2023-12-08 14:05:44,1,3047,136
v5.8,Bug fixes,2023-12-29 06:11:56,1,7956,113
v7.7,Bug fixes,2023-01-21 13:31:53,1,6246,181
v6.3,Bug fixes,2023-12-09 16:07:51,1,8929,51
v8.9,Bug fixes,2023-12-23 05:46:31,1,5479,112
v2.8,Bug fixes,2023-12-11 06:17:57,1,4130,99
v9.1,Bug fixes,2023-08-22 21:41:25,1,6569,23
v1.1,Bug fixes,2023-12-10 10:59:34,1,5957,160
v5.8,Bug fixes,2023-12-13 04:26:00,1,4553,186
v9.9,Bug fixes,2023-11-16 06:09:11,1,764,103
v8.5,Bug fixes,2023-12-29 03:00:36,1,4163,113
v4.7,Bug fixes,2023-12-12 23:33:45,1,1265,124
v5.1,Bug fixes,2023-11-22 04:25:50,1,2273,32
v2.2,Bug fixes,2023-08-29 10:45:04,1,1094,96
v6.0,Bug fixes,2023-10-01 00:37:07,1,7242,154
v7.5,Bug fixes,2023-10-22 19:58:11,1,9498,126
v4.8,Bug fixes,2023-01-02 19:21:04,1,879,181
v3.4,Bug fixes,2023-11-04 06:48:25,1,5539,93
v5.3,Bug fixes,2023-12-28 12:16:03,1,9444,40
v4.3,Bug fixes,2023-11-13 20:43:47,1,9212,178
v4.5,Bug fixes,2023-06-26 06:32:07,1,1456,72
v4.6,Bug fixes,2023-08-23 14:19:54,1,7357,189
v3.2,Bug fixes,2023-05-22 21:21:47,1,2582,109
v3.6,Bug fixes,2023-12-16 06:33:47,1,5119,104
v7.1,Bug fixes,2023-05-25 02:55:57,1,3807,3
v1.2,Bug fixes,2023-11-30 19:06:49,1,6791,170
v5.3,Bug fixes,2023-12-04 03:13:04,1,5667,5
v9.5,Bug fixes,2023-04-27 17:54:23,1,7520,74
v1.3,Bug fixes,2023-12-30 14:21:55,1,7092,41
v6.0,Bug fixes,2023-10-15 09:36:19,1,6155,107
v6.4,Bug fixes,2023-12-22 10:14:37,1,1942,73
v2.4,Bug fixes,2023-12-07 08:50:38,1,9243,135
v3.5,Bug fixes,2023-10-14 06:26:18,1,6299,86
v4.2,Bug fixes,2023-12-26 22:44:15,1,8827,168
v3.3,Bug fixes,2023-12-06 05:33:55,1,467,190
v6.5,Bug fixes,2023-12-14 05:42:14,1,1236,80
v6.2,Bug fixes,2023-11-05 10:04:01,1,6423,54
v3.1,Bug fixes,2023-12-30 05:18:39,1,5207,128
v6.5,Bug fixes,2023-12-29 15:43:04,1,2415,99
v10.1,Bug fixes,2023-09-25 14:02:35,1,6530,68
v5.2,Bug fixes,2023-09-24 14:47:41,1,8304,194
v1.9,Bug fixes,2023-12-22 20:02:17,1,8073,117
v10.8,Bug fixes,2023-02-10 21:22:07,1,6845,119
v10.8,Bug fixes,2023-12-22 15:45:15,1,8157,25
v10.5,Bug fixes,2023-10-01 14:25:45,1,4631,57
v1.2,Bug fixes,2023-12-16 14:46:10,1,9347,163
v4.6,Bug fixes,2023-06-19 21:09:15,1,9684,144
v3.6,Bug fixes,2023-08-22 04:45:21,1,3819,22
v1.3,Bug fixes,2023-12-28 02:10:36,1,103,26
v6.2,Bug fixes,2023-08-31 20:20:27,1,5899,47
v9.7,Bug fixes,2023-11-18 03:50:05,1,6054,198
v4.8,Bug fixes,2023-12-29 21:05:09,1,5640,176
v2.7,Bug fixes,2023-12-23 06:38:56,1,3989,108
v8.6,Bug fixes,2023-10-15 16:39:32,1,5929,15
v7.1,Bug fixes,2023-12-24 22:53:48,1,6065,43
v6.1,Bug fixes,2022-02-16 01:23:56,1,9178,62
v4.2,Bug fixes,2023-10-25 15:08:39,1,4504,92
v1.2,Bug fixes,2023-12-23 17:36:44,1,7241,27
v10.4,Bug fixes,2023-09-17 01:47:43,1,4402,85
v9.9,Bug fixes,2023-12-30 23:22:06,1,6801,173
v2.4,Bug fixes,2023-12-09 20:58:23,1,296,154
v9.5,Bug fixes,2023-12-19 14:59:48,1,6114,160
v5.1,Bug fixes,2023-02-03 14:36:32,1,9932,62
v2.4,Bug fixes,2023-10-23 15:11:34,1,8922,115
v1.9,Bug fixes,2023-12-14 21:33:49,1,5510,165
v10.0,Bug fixes,2023-12-22 01:55:51,1,520,44
v9.0,Bug fixes,2023-11-09 08:52:25,1,8392,178
v4.8,Bug fixes,2023-12-01 21:41:04,1,422,145
v6.1,Bug fixes,2023-12-30 21:39:22,1,6668,37
v8.1,Bug fixes,2023-01-07 10:07:30,1,1656,102
v10.2,Bug fixes,2023-12-26 10:31:19,1,5991,124
v10.8,Bug fixes,2023-05-03 22:54:36,1,2908,94
v4.4,Bug fixes,2023-01-19 12:30:59,1,3516,52
v10.9,Bug fixes,2023-12-27 08:42:00,1,6000,148
v6.6,Bug fixes,2023-12-28 16:13:39,1,2297,184
v8.4,Bug fixes,2023-12-30 17:20:51,1,6633,14
v3.8,Bug fixes,2023-12-26 11:02:44,1,5668,13
v2.9,Bug fixes,2023-12-30 11:51:23,1,2336,128
v7.5,Bug fixes,2023-11-24 22:39:03,1,3633,32
v3.7,Bug fixes,2023-12-17 00:43:14,1,3302,44
v3.3,Bug fixes,2023-12-29 10:29:23,1,6087,34
v2.7,Bug fixes,2023-12-12 11:11:48,1,9525,20
v9.3,Bug fixes,2023-11-28 15:42:47,1,2402,54
v3.0,Bug fixes,2023-01-09 16:05:01,1,1671,17
v2.9,Bug fixes,2023-12-29 11:36:32,1,5796,37
v2.7,Bug fixes,2023-06-19 17:38:43,1,4180,53
v1.1,Bug fixes,2023-11-12 17:15:09,1,6425,159
v5.9,Bug fixes,2023-12-29 17:06:08,1,7777,37
v8.9,Bug fixes,2023-09-10 20:42:13,1,4974,152
v6.1,Bug fixes,2023-12-14 01:12:25,1,7085,114
v7.8,Bug fixes,2023-07-03 03:24:38,1,1417,6
v1.2,Bug fixes,2023-12-09 18:38:21,1,681,2
v10.2,Bug fixes,2023-11-27 17:42:45,1,5614,160
v2.7,Bug fixes,2023-12-23 18:57:26,1,2241,43
v1.6,Bug fixes,2023-12-30 02:59:41,1,131,155
v5.3,Bug fixes,2023-12-09 09:24:56,1,9019,15
v4.2,Bug fixes,2023-11-02 22:15:16,1,1082,110
v2.6,Bug fixes,2023-10-12 10:12:07,1,6465,103
v9.3,Bug fixes,2023-08-05 09:53:22,1,3569,183
v7.7,Bug fixes,2023-11-22 05:41:51,1,8863,91
v10.5,Bug fixes,2023-12-30 20:07:03,1,9664,173
v6.0,Bug fixes,2023-12-12 19:35:47,1,2517,97
v1.8,Bug fixes,2023-11-26 08:26:07,1,3362,76
v8.3,Bug fixes,2023-01-25 05:25:23,1,9552,163
v8.1,Bug fixes,2023-02-14 23:49:31,1,5818,139
v1.4,Bug fixes,2023-11-05 23:16:21,1,5451,89
v8.0,Bug fixes,2023-10-05 18:31:58,1,9552,11
v1.0,Bug fixes,2023-07-03 08:16:35,1,9209,164
v2.7,Bug fixes,2023-10-13 08:23:52,1,4930,15
v2.4,Bug fixes,2023-11-03 06:05:11,1,8072,23
v9.4,Bug fixes,2023-07-22 04:19:46,1,2241,191
v2.3,Bug fixes,2023-11-16 19:19:40,1,4980,121
v1.1,Bug fixes,2023-06-04 03:24:17,1,3536,125
v1.1,Bug fixes,2023-02-06 06:42:03,1,2755,12
v2.1,Bug fixes,2023-12-20 02:26:33,1,4634,160
v3.0,Bug fixes,2023-04-27 06:17:22,1,2761,95
v1.6,Bug fixes,2023-12-30 00:00:22,1,4058,167
v4.5,Bug fixes,2023-12-28 20:41:16,1,7013,38
v6.7,Bug fixes,2023-12-29 22:13:12,1,46,37
v9.3,Bug fixes,2023-12-07 03:23:15,1,6592,156
v9.5,Bug fixes,2023-10-14 09:27:50,1,8834,54
v8.2,Bug fixes,2023-12-08 17:22:26,1,3713,180
v10.8,Bug fixes,2023-09-25 15:28:31,1,2443,74
v10.9,Bug fixes,2023-08-25 21:32:00,1,2776,105
v9.4,Bug fixes,2023-06-23 11:46:06,1,2234,185
v8.0,Bug fixes,2023-12-28 19:33:13,1,2707,69
v7.7,Bug fixes,2023-09-10 03:40:49,1,4001,24
v4.7,Bug fixes,2023-12-28 13:14:31,1,8435,69
v5.3,Bug fixes,2023-12-30 11:18:10,1,381,192
v7.8,Bug fixes,2023-12-28 16:42:06,1,8921,173
v4.7,Bug fixes,2023-12-27 22:53:55,1,438,13
v8.1,Bug fixes,2023-10-06 18:36:08,1,8624,102
v10.6,Bug fixes,2023-12-11 20:20:28,1,583,187
v8.3,Bug fixes,2023-09-08 06:31:27,1,4875,127
v4.3,Bug fixes,2023-12-21 08:02:56,1,7127,155
v8.0,Bug fixes,2023-12-30 23:57:25,1,472,192
v6.1,Bug fixes,2023-09-09 04:18:06,1,5791,60
v7.9,Bug fixes,2023-10-24 08:27:48,1,1627,122
v9.3,Bug fixes,2023-10-05 04:37:03,1,3250,91
v6.1,Bug fixes,2023-12-21 16:13:47,1,4050,143
v2.9,Bug fixes,2023-12-28 20:38:32,1,6695,79
v6.3,Bug fixes,2023-11-10 14:43:02,1,8332,159
v6.4,Bug fixes,2023-08-30 08:06:39,1,9885,102
v2.0,Bug fixes,2022-08-13 04:56:29,1,8564,52
v3.0,Bug fixes,2023-12-25 21:10:18,1,66,13
v2.5,Bug fixes,2023-07-04 10:24:08,1,3376,72
v5.6,Bug fixes,2023-12-18 21:09:16,1,9583,193
v8.2,Bug fixes,2022-10-31 23:22:49,1,1001,95
v9.8,Bug fixes,2023-12-26 03:04:35,1,2188,44
v5.9,Bug fixes,2023-12-24 23:24:15,1,6969,63
v5.8,Bug fixes,2023-12-29 20:08:31,1,3019,179
v5.4,Bug fixes,2023-11-09 09:33:15,1,4320,198
v10.5,Bug fixes,2023-10-05 10:34:36,1,8490,159
v6.5,Bug fixes,2023-12-25 18:02:01,1,7859,47
v7.0,Bug fixes,2023-12-18 23:21:49,1,4335,66
v6.2,Bug fixes,2023-12-30 01:54:42,1,4463,71
v7.7,Bug fixes,2023-12-21 05:08:30,1,4654,31
v3.8,Bug fixes,2023-11-05 02:43:46,1,3137,165
v9.8,Bug fixes,2023-11-08 00:22:41,1,5108,106
v6.5,Bug fixes,2023-12-05 09:26:11,1,210,57
v6.0,Bug fixes,2023-11-11 04:54:54,1,4406,121
v10.0,Bug fixes,2023-12-14 14:11:04,1,3843,44
v7.3,Bug fixes,2023-06-09 17:43:42,1,2849,107
v4.0,Bug fixes,2023-07-12 12:44:37,1,1128,8
v1.3,Bug fixes,2023-07-08 11:29:58,1,9423,94
v5.7,Bug fixes,2023-12-27 09:39:10,1,2071,169
v5.6,Bug fixes,2023-07-02 22:37:01,1,1050,59
v1.5,Bug fixes,2023-12-21 07:48:39,1,5016,101
v2.8,Bug fixes,2023-11-11 20:41:41,1,8959,79
v3.3,Bug fixes,2023-12-30 17:26:13,1,1763,192
v6.8,Bug fixes,2023-09-06 02:43:30,1,1748,88
v4.8,Bug fixes,2023-12-16 17:21:00,1,9486,25
v2.7,Bug fixes,2023-06-13 22:06:30,1,3158,139
v7.5,Bug fixes,2023-12-29 21:42:45,1,5879,146
v7.5,Bug fixes,2023-12-02 09:24:42,1,6782,82
v9.8,Bug fixes,2023-12-30 10:28:55,1,8631,48
v8.8,Bug fixes,2023-12-25 01:28:57,1,5280,171
v2.2,Bug fixes,2023-11-15 02:26:48,1,3876,180
v3.8,Bug fixes,2023-12-21 13:06:18,1,7537,169
v10.1,Bug fixes,2023-09-11 02:00:27,1,2856,189
v8.9,Bug fixes,2023-12-09 14:23:46,1,4160,101
v3.8,Bug fixes,2023-03-24 20:28:19,1,233,156
v4.9,Bug fixes,2023-12-17 17:42:16,1,4900,99
v10.4,Bug fixes,2023-02-10 18:47:03,1,4332,185
v8.3,Bug fixes,2023-10-17 12:26:55,1,700,175
v8.6,Bug fixes,2023-11-15 19:22:37,1,1405,199
v7.8,Bug fixes,2023-12-30 17:48:47,1,7418,37
v8.7,Bug fixes,2023-11-04 07:29:59,1,8901,194
v9.0,Bug fixes,2023-12-29 13:56:05,1,8143,83
v2.3,Bug fixes,2023-06-25 07:24:16,1,3786,158
v8.9,Bug fixes,2023-03-23 14:16:30,1,165,195
v4.1,Bug fixes,2023-12-28 23:02:12,1,8305,40
v4.7,Bug fixes,2023-11-24 12:17:27,1,1494,171
v4.7,Bug fixes,2023-09-22 10:46:13,1,8625,86
v4.8,Bug fixes,2023-12-27 21:20:20,1,643,114
v6.0,Bug fixes,2023-10-23 08:48:08,1,6603,178
