id_utilisateur,id_application,titre,contenu,date_publi,note
247,34,Bof,Ceci est un commentaire.,2023-12-30 04:32:05,1
477,199,Bof,Ceci est un commentaire.,2023-12-29 15:42:06,5
155,167,Bof,Ceci est un commentaire.,2023-12-25 19:59:02,3
445,174,Super,Ceci est un commentaire.,2023-12-02 05:34:46,5
438,125,Genial,Ceci est un commentaire.,2023-10-14 06:14:25,2
256,14,Super,Ceci est un commentaire.,2023-12-30 17:00:38,5
387,70,Nul,Ceci est un commentaire.,2023-04-15 02:46:39,4
24,54,A revoir,Ceci est un commentaire.,2023-11-02 10:17:39,4
16,144,Nul,Ceci est un commentaire.,2023-10-22 21:24:41,4
189,108,A revoir,Ceci est un commentaire.,2023-12-28 13:55:49,1
68,6,A revoir,Ceci est un commentaire.,2023-12-09 10:45:40,4
44,52,Bof,Ceci est un commentaire.,2023-08-31 14:17:35,3
378,94,Super,Ceci est un commentaire.,2023-06-19 18:29:14,3
12,116,Genial,Ceci est un commentaire.,2023-12-26 00:36:32,2
220,117,Nul,Ceci est un commentaire.,2023-12-24 18:56:51,5
336,46,Nul,Ceci est un commentaire.,2023-12-30 20:54:31,5
138,7,Nul,Ceci est un commentaire.,2023-11-21 12:27:29,4
330,79,Bof,Ceci est un commentaire.,2023-12-28 05:55:54,1
45,47,Nul,Ceci est un commentaire.,2023-12-30 00:03:44,1
242,117,Nul,Ceci est un commentaire.,2023-12-22 08:57:17,2
77,132,Genial,Ceci est un commentaire.,2023-11-27 18:47:11,5
213,83,Bof,Ceci est un commentaire.,2023-12-30 00:28:51,1
453,78,Super,Ceci est un commentaire.,2023-11-29 09:40:55,4
179,23,Bof,Ceci est un commentaire.,2023-12-30 14:16:36,5
308,126,Genial,Ceci est un commentaire.,2023-12-15 09:23:22,1
244,51,Nul,Ceci est un commentaire.,2023-12-26 01:06:54,1
138,102,Bof,Ceci est un commentaire.,2023-12-12 20:37:23,4
283,182,Super,Ceci est un commentaire.,2023-08-01 10:13:34,1
21,55,A revoir,Ceci est un commentaire.,2023-11-30 23:32:12,2
26,32,Genial,Ceci est un commentaire.,2023-12-19 06:55:12,1
490,63,A revoir,Ceci est un commentaire.,2023-12-30 22:48:04,2
335,22,Genial,Ceci est un commentaire.,2023-10-07 14:08:00,2
492,36,Super,Ceci est un commentaire.,2023-10-04 19:57:37,3
234,84,Nul,Ceci est un commentaire.,2023-12-30 01:35:54,3
314,66,Nul,Ceci est un commentaire.,2023-12-27 22:28:14,3
452,200,A revoir,Ceci est un commentaire.,2023-11-28 03:32:21,5
160,153,A revoir,Ceci est un commentaire.,2023-12-20 23:06:37,1
36,22,Nul,Ceci est un commentaire.,2023-11-06 02:25:40,1
132,67,Super,Ceci est un commentaire.,2023-12-26 04:06:09,1
211,15,Super,Ceci est un commentaire.,2023-12-24 07:32:09,4
171,56,A revoir,Ceci est un commentaire.,2023-12-26 11:38:06,2
397,188,Nul,Ceci est un commentaire.,2023-01-06 19:02:00,4
120,41,Genial,Ceci est un commentaire.,2023-12-30 22:02:13,1
250,190,Super,Ceci est un commentaire.,2023-12-30 17:31:35,3
403,19,Bof,Ceci est un commentaire.,2023-12-07 00:46:58,1
289,3,Genial,Ceci est un commentaire.,2023-05-26 15:16:55,4
7,148,Super,Ceci est un commentaire.,2023-12-29 12:10:18,5
4,134,Super,Ceci est un commentaire.,2023-12-30 06:06:33,3
387,34,A revoir,Ceci est un commentaire.,2023-12-30 17:51:25,2
32,189,Genial,Ceci est un commentaire.,2023-05-16 14:03:08,3
211,96,A revoir,Ceci est un commentaire.,2023-08-08 02:12:38,1
219,184,Nul,Ceci est un commentaire.,2023-12-30 08:44:09,3
209,152,Genial,Ceci est un commentaire.,2023-12-14 02:11:03,5
481,150,Nul,Ceci est un commentaire.,2023-12-21 14:13:43,4
18,158,Super,Ceci est un commentaire.,2023-10-18 04:45:25,3
175,162,Nul,Ceci est un commentaire.,2023-10-20 03:05:47,4
132,68,Nul,Ceci est un commentaire.,2023-11-30 08:44:24,1
36,44,Genial,Ceci est un commentaire.,2023-12-27 14:48:24,5
214,169,Bof,Ceci est un commentaire.,2023-12-25 15:29:52,1
245,141,Super,Ceci est un commentaire.,2023-12-10 01:51:55,2
311,89,Bof,Ceci est un commentaire.,2023-12-27 17:12:37,2
72,19,Genial,Ceci est un commentaire.,2023-11-30 07:13:59,4
491,113,Bof,Ceci est un commentaire.,2023-12-30 21:16:12,5
104,73,Bof,Ceci est un commentaire.,2023-12-15 06:02:34,2
50,88,A revoir,Ceci est un commentaire.,2023-12-04 19:21:32,5
29,25,Nul,Ceci est un commentaire.,2023-12-30 23:37:27,1
417,70,Bof,Ceci est un commentaire.,2023-12-25 05:48:27,1
161,183,Nul,Ceci est un commentaire.,2023-10-25 10:20:33,1
335,183,Super,Ceci est un commentaire.,2023-12-25 15:03:48,2
500,23,A revoir,Ceci est un commentaire.,2023-12-24 00:29:14,4
57,24,A revoir,Ceci est un commentaire.,2023-07-12 08:43:52,4
496,45,A revoir,Ceci est un commentaire.,2023-12-29 10:19:32,4
300,151,Nul,Ceci est un commentaire.,2023-12-14 01:55:55,1
312,189,Nul,Ceci est un commentaire.,2023-08-30 03:30:28,5
121,33,Nul,Ceci est un commentaire.,2023-12-28 21:48:03,1
216,60,Nul,Ceci est un commentaire.,2023-10-16 07:04:33,2
412,48,Super,Ceci est un commentaire.,2023-12-12 10:17:22,1
456,76,Nul,Ceci est un commentaire.,2023-12-15 04:05:22,2
77,17,Super,Ceci est un commentaire.,2023-08-10 07:58:46,2
460,88,Bof,Ceci est un commentaire.,2023-12-08 12:41:37,4
389,165,Super,Ceci est un commentaire.,2023-11-21 16:03:02,4
92,95,Bof,Ceci est un commentaire.,2023-05-11 15:44:26,3
498,143,Genial,Ceci est un commentaire.,2023-12-28 08:46:44,1
225,37,Genial,Ceci est un commentaire.,2023-12-30 23:35:23,5
364,145,Nul,Ceci est un commentaire.,2023-11-27 16:46:31,4
167,67,Genial,Ceci est un commentaire.,2023-12-30 10:44:06,4
83,55,Super,Ceci est un commentaire.,2023-12-25 04:05:38,4
232,164,Genial,Ceci est un commentaire.,2023-09-05 09:40:52,2
489,198,Bof,Ceci est un commentaire.,2023-12-11 12:44:32,1
66,148,Bof,Ceci est un commentaire.,2023-12-29 22:34:31,5
27,46,Genial,Ceci est un commentaire.,2023-12-30 20:16:40,4
180,151,Nul,Ceci est un commentaire.,2023-08-09 22:17:59,5
219,91,Genial,Ceci est un commentaire.,2023-02-23 08:56:14,4
44,85,A revoir,Ceci est un commentaire.,2023-07-18 18:41:10,2
382,48,A revoir,Ceci est un commentaire.,2023-12-23 07:49:20,2
62,170,A revoir,Ceci est un commentaire.,2023-12-21 02:33:24,4
232,163,Nul,Ceci est un commentaire.,2023-10-09 18:49:32,4
328,120,Bof,Ceci est un commentaire.,2023-12-18 13:22:25,3
60,40,Genial,Ceci est un commentaire.,2023-12-29 03:26:25,4
294,145,Nul,Ceci est un commentaire.,2023-12-05 11:24:17,5
42,171,Genial,Ceci est un commentaire.,2023-12-29 15:21:41,5
54,10,Bof,Ceci est un commentaire.,2023-11-17 06:29:02,5
