email,pays,date_ouverture,nom,id_gestionnaire
contact@gameworld1.com,Belgique,2021-12-05 01:57:27,GameWorld 1,311
contact@gameworld2.com,Belgique,2023-12-16 01:17:45,GameWorld 2,28
contact@indiedev3.com,Canada,2023-05-01 09:49:54,IndieDev 3,489
contact@gameworld4.com,Suisse,2023-10-06 00:55:41,GameWorld 4,203
contact@techshop5.com,Suisse,2022-06-22 11:55:21,TechShop 5,21
contact@softhouse6.com,Belgique,2023-11-05 16:51:08,SoftHouse 6,241
contact@megastore7.com,France,2023-12-18 18:40:32,MegaStore 7,339
contact@techshop8.com,Suisse,2022-10-14 12:58:35,TechShop 8,112
contact@indiedev9.com,Suisse,2023-01-09 05:35:26,IndieDev 9,50
contact@techshop10.com,France,2022-11-29 20:14:35,TechShop 10,291
contact@techshop11.com,Suisse,2022-12-17 21:06:18,TechShop 11,357
contact@megastore12.com,Suisse,2023-10-04 03:09:55,MegaStore 12,488
contact@appzone13.com,Suisse,2022-03-28 21:03:42,AppZone 13,44
contact@appzone14.com,Belgique,2022-02-04 08:43:36,AppZone 14,60
contact@gameworld15.com,Canada,2023-07-31 17:24:04,GameWorld 15,144
contact@indiedev16.com,Suisse,2021-07-22 15:35:25,IndieDev 16,220
contact@appzone17.com,France,2022-04-12 04:59:02,AppZone 17,347
contact@megastore18.com,Suisse,2023-04-23 04:30:22,MegaStore 18,231
contact@gameworld19.com,Canada,2022-06-09 08:13:40,GameWorld 19,207
contact@gameworld20.com,Belgique,2023-08-07 04:26:27,GameWorld 20,266
contact@softhouse21.com,Canada,2022-07-12 03:59:52,SoftHouse 21,327
contact@appzone22.com,France,2023-12-10 12:09:45,AppZone 22,387
contact@indiedev23.com,Belgique,2022-02-22 05:41:40,IndieDev 23,222
contact@megastore24.com,Canada,2023-12-05 08:57:46,MegaStore 24,466
contact@megastore25.com,Canada,2022-11-12 04:30:01,MegaStore 25,305
contact@megastore26.com,Belgique,2023-01-07 08:25:31,MegaStore 26,377
contact@softhouse27.com,France,2020-12-04 22:19:30,SoftHouse 27,294
contact@appzone28.com,USA,2023-04-30 09:58:21,AppZone 28,187
contact@appzone29.com,Canada,2022-10-18 10:11:33,AppZone 29,271
contact@softhouse30.com,USA,2022-11-20 14:18:59,SoftHouse 30,368
contact@gameworld31.com,France,2022-12-07 08:35:44,GameWorld 31,163
contact@softhouse32.com,Canada,2021-02-19 04:41:08,SoftHouse 32,306
contact@softhouse33.com,Suisse,2023-04-30 12:42:45,SoftHouse 33,460
contact@techshop34.com,Suisse,2021-12-25 12:36:28,TechShop 34,219
contact@techshop35.com,France,2021-10-25 13:29:01,TechShop 35,446
contact@techshop36.com,Canada,2023-03-13 02:55:00,TechShop 36,154
contact@megastore37.com,USA,2022-04-01 15:52:58,MegaStore 37,148
contact@gameworld38.com,Canada,2022-06-07 06:58:02,GameWorld 38,11
contact@techshop39.com,Suisse,2023-10-25 14:07:24,TechShop 39,401
contact@softhouse40.com,Belgique,2023-06-26 04:35:42,SoftHouse 40,202
contact@indiedev41.com,France,2021-04-19 05:46:42,IndieDev 41,82
contact@techshop42.com,USA,2023-03-14 04:55:32,TechShop 42,235
contact@gameworld43.com,Belgique,2023-12-26 14:00:19,GameWorld 43,400
contact@indiedev44.com,Suisse,2023-12-26 20:04:27,IndieDev 44,3
contact@techshop45.com,USA,2022-10-02 16:12:59,TechShop 45,113
contact@techshop46.com,Canada,2023-08-04 13:46:53,TechShop 46,399
contact@gameworld47.com,Belgique,2023-04-03 01:16:05,GameWorld 47,371
contact@megastore48.com,Belgique,2023-07-08 01:33:33,MegaStore 48,455
contact@appzone49.com,Canada,2021-07-01 00:48:13,AppZone 49,165
contact@megastore50.com,USA,2023-12-15 11:08:39,MegaStore 50,80
